217.00,263.00,267.00,13.00,-13.00,14484,-8204,-280,-1500,-557,1014,1
234.00,265.00,274.00,14.00,-13.00,16612,-2060,4256,-978,491,219,
232.00,267.00,247.00,13.00,-14.00,15836,-2096,4268,-1297,-487,1141,
239.00,245.00,285.00,14.00,-13.00,16148,-4284,3060,-304,-384,303,
234.00,265.00,274.00,14.00,-13.00,15760,-4408,2760,-1068,-346,504,
232.00,267.00,281.00,14.00,-13.00,15844,-4807,-1,-657,-214,680,
235.00,265.00,278.00,14.00,-13.00,15884,-5872,1184,-1082,-330,423,
235.00,267.00,278.00,14.00,-13.00,15796,-6488,884,-1149,-296,555,
235.00,265.00,281.00,14.00,-13.00,15708,-7616,500,-1174,-73,534,
235.00,263.00,281.00,14.00,-13.00,14780,-7692,180,-872,262,325,
245.00,251.00,259.00,14.00,-14.00,14928,-8706,-258,-430,-122,576,1
235.00,263.00,267.00,14.00,-13.00,15744,-3924,4952,-28418,-15359,-21754,
235.00,263.00,269.00,14.00,-13.00,15660,-4324,4908,-178,228,173,
222.00,252.00,278.00,14.00,-13.00,15836,-5004,4136,-240,-58,962,
228.00,263.00,271.00,14.00,-13.00,15740,-5296,3580,-1038,-2,-258,
235.00,263.00,269.00,14.00,-13.00,15752,-5504,3408,-55,180,-84,
234.00,263.00,269.00,14.00,-13.00,15568,-5672,3580,-715,75,267,
235.00,265.00,269.00,14.00,-13.00,15736,-6040,3360,-951,-12,521,
234.00,263.00,265.00,13.00,-13.00,15732,-5620,2648,-737,-321,464,
241.00,265.00,269.00,14.00,-13.00,15472,-7004,2264,-1862,-3184,-414,
251.00,269.00,274.00,14.00,-13.00,15400,-7084,1328,-938,-556,543,1
239.00,261.00,249.00,17.00,-13.00,15848,-4500,3764,-282,23,387,
239.00,274.00,283.00,13.00,-13.00,16116,-5100,3600,-582,52,102,
239.00,269.00,281.00,14.00,-13.00,15400,-6108,3228,-380,-309,-13,
243.00,269.00,281.00,14.00,-13.00,15720,-6188,2164,-863,-84,-122,
241.00,269.00,283.00,14.00,-13.00,15380,-6704,2372,-2788,-536,531,
241.00,267.00,281.00,14.00,-13.00,15552,-6820,1228,-972,202,279,
269.00,261.00,278.00,14.00,-13.00,15216,-7540,816,-1279,96,1,
228.00,283.00,259.00,15.00,-13.00,14828,-7548,-292,-1283,293,589,
239.00,265.00,281.00,13.00,-13.00,14980,-8540,-1120,-759,449,549,
239.00,269.00,283.00,14.00,-13.00,14524,-8732,-1440,-457,235,494,1
235.00,263.00,281.00,14.00,-12.00,16212,-4436,-428,-832,104,101,
235.00,263.00,281.00,14.00,-12.00,16520,-4468,-376,-992,124,906,
234.00,263.00,283.00,15.00,-12.00,15864,-5516,0,-2452,564,310,
234.00,263.00,281.00,14.00,-12.00,15992,-5028,-684,-1365,-436,177,
234.00,261.00,281.00,14.00,-12.00,15984,-5296,-1892,-713,-648,51,
235.00,263.00,281.00,14.00,-12.00,15640,-5904,-2152,-942,207,1434,
235.00,263.00,281.00,14.00,-12.00,16448,-5832,-3224,-619,413,8,
234.00,274.00,281.00,14.00,-13.00,15708,-6632,-3192,-356,86,1272,
230.00,263.00,285.00,14.00,-12.00,14984,-7040,-4088,-964,-215,1386,
234.00,263.00,278.00,14.00,-13.00,14384,-7204,-4336,-1308,103,298,1
235.00,265.00,203.00,13.00,-13.00,16040,-4304,4436,-890,-766,724,
235.00,265.00,196.00,13.00,-13.00,15764,-4704,3324,-598,-1141,71,
239.00,263.00,203.00,13.00,-13.00,15536,-5256,3216,-615,-724,866,
234.00,263.00,230.00,13.00,-14.00,15784,-5632,2588,-1623,453,461,
235.00,265.00,209.00,13.00,-13.00,15604,-6320,1024,-2292,-221,-66,
235.00,263.00,199.00,13.00,-13.00,16076,-5912,1088,-354,-861,715,
235.00,263.00,257.00,13.00,-13.00,15032,-6260,-64,-913,-492,1334,
235.00,263.00,259.00,13.00,-13.00,14652,-8560,-712,-81,95,914,
239.00,261.00,259.00,13.00,-13.00,14700,-7636,-1980,-1438,-168,603,
235.00,263.00,259.00,13.00,-13.00,14372,-9116,-2520,-1369,-406,1123,1
235.00,265.00,274.00,13.00,-13.00,16636,-5800,2828,-386,-251,560,
235.00,267.00,274.00,13.00,-13.00,15580,-5708,2476,-374,-157,275,
232.00,300.00,295.00,15.00,-13.00,15780,-6364,2304,-1048,-592,111,
249.00,255.00,265.00,17.00,-13.00,15796,-6220,1400,-856,20,-211,
234.00,265.00,281.00,13.00,-13.00,16388,-5648,1148,-1383,-508,234,
235.00,259.00,276.00,14.00,-13.00,15740,-6688,1440,-600,463,1011,
235.00,265.00,274.00,13.00,-13.00,15476,-7336,-32,-782,504,1201,
235.00,265.00,274.00,13.00,-13.00,15588,-7676,-492,-755,276,572,
235.00,263.00,274.00,13.00,-13.00,14444,-7616,-1044,-907,-601,931,
235.00,263.00,274.00,13.00,-13.00,14528,-9372,-1824,-396,524,119,1
218.00,276.00,288.00,14.00,-13.00,15912,-4420,4544,-486,-61,942,
239.00,267.00,274.00,14.00,-13.00,16036,-4696,3532,-1020,-998,719,
237.00,267.00,276.00,14.00,-13.00,15836,-5428,2568,-2562,-258,-258,
237.00,267.00,276.00,13.00,-13.00,15844,-5628,1268,-870,-630,687,
237.00,265.00,278.00,13.00,-13.00,15948,-6052,480,-1022,-2,-258,
